,spu,Tst_high,Tst_low,m_hp,Thp_in,Thp_out,q_hp
2021-10-12 22:30:00+02:00,,16.98753333333333,16.884933333333333,685.398,16.686133333333334,16.418333333333333,-0.32369333333333333
2021-10-12 22:45:00+02:00,,17.0044,16.661066666666667,578.5010000000001,16.795600000000004,16.82,0.0
2021-10-12 23:00:00+02:00,,17.0142,16.687733333333334,578.169,16.924466666666664,16.94846666666667,0.0
2021-10-12 23:15:00+02:00,,17.022333333333332,16.719600000000003,579.994,16.962066666666665,16.987866666666665,0.0
2021-10-12 23:30:00+02:00,,17.030866666666668,16.760666666666665,579.248,17.000133333333334,17.046733333333332,0.0
2021-10-12 23:45:00+02:00,,17.046933333333335,16.816533333333332,580.368,17.0504,17.108533333333334,0.0
2021-10-13 00:00:00+02:00,,17.066384615384617,16.86269230769231,661.2761538461539,17.10223076923077,16.935,-0.28255384615384616
2021-10-13 00:15:00+02:00,,17.080399999999997,16.564600000000002,611.471,16.4678,16.3956,-0.06714666666666666
2021-10-13 00:30:00+02:00,,17.096999999999998,16.5748,578.3600000000001,16.8168,16.850466666666666,0.0
2021-10-13 00:45:00+02:00,,17.109333333333332,16.600466666666666,578.542,16.869866666666663,16.898933333333332,0.0
2021-10-13 01:00:00+02:00,,17.127333333333336,16.637,578.1949999999999,16.902933333333333,16.935799999999997,0.0
2021-10-13 01:15:00+02:00,,17.1412,16.681,579.4770000000001,16.939133333333334,16.977266666666665,0.0
2021-10-13 01:30:00+02:00,,17.1628,16.744600000000002,578.5570000000001,16.974,17.011666666666663,0.0
2021-10-13 01:45:00+02:00,,17.191066666666668,16.787066666666664,579.0964666666666,17.00613333333333,17.055266666666668,0.0
2021-10-13 02:00:00+02:00,,17.207666666666665,16.823066666666666,579.368,17.032200000000003,17.08566666666667,0.0
2021-10-13 02:15:00+02:00,,17.227800000000002,16.848799999999997,580.564,17.075266666666668,17.123800000000003,0.0
2021-10-13 02:30:00+02:00,,17.24813333333333,16.8782,580.2929999999999,17.11466666666667,17.148933333333332,0.0
2021-10-13 02:45:00+02:00,,17.268266666666666,16.908,580.635,17.142666666666667,17.180866666666667,0.0
2021-10-13 03:00:00+02:00,,17.295266666666667,16.939933333333332,603.274,17.168400000000005,17.2016,-0.0025933333333333333
2021-10-13 03:15:00+02:00,,17.317733333333333,16.6936,660.211,16.5714,16.311666666666667,-0.3089133333333333
2021-10-13 03:30:00+02:00,,17.337466666666668,16.6508,580.007,16.871933333333335,16.890733333333333,0.0
2021-10-13 03:45:00+02:00,,17.3564,16.674066666666665,579.2769999999999,16.9246,16.950266666666668,0.0
2021-10-13 04:00:00+02:00,,17.372,16.712266666666668,580.6419999999999,16.958333333333332,16.9888,0.0
2021-10-13 04:15:00+02:00,,17.3902,16.749733333333335,581.1650000000001,16.9884,17.017533333333336,0.0
2021-10-13 04:30:00+02:00,,17.404933333333336,16.80193333333333,581.542,17.022333333333332,17.07566666666667,0.0
2021-10-13 04:45:00+02:00,,17.423199999999998,16.847533333333335,581.421,17.0644,17.112733333333335,0.0
2021-10-13 05:00:00+02:00,,17.438266666666667,16.87633333333333,580.703,17.105133333333335,17.144799999999996,0.0
2021-10-13 05:15:00+02:00,,17.455866666666665,16.90293333333333,582.0799999999999,17.13266666666667,17.172000000000004,0.0
2021-10-13 05:30:00+02:00,,17.476333333333333,16.936466666666668,580.494,17.164800000000003,17.202466666666666,0.0
2021-10-13 05:45:00+02:00,,17.499933333333335,16.816133333333333,780.4620000000001,16.683000000000003,16.198,-0.61556
2021-10-13 06:00:00+02:00,,17.51793333333334,16.211199999999998,692.948,15.889666666666663,15.525266666666665,-0.36839333333333335
2021-10-13 06:15:00+02:00,,17.526999999999997,15.998733333333336,682.788,15.956066666666665,15.698466666666665,-0.3243933333333333
2021-10-13 06:30:00+02:00,,17.528599999999997,15.785599999999999,574.2259999999999,15.8654,15.843399999999997,-0.008193333333333334
2021-10-13 06:45:00+02:00,,17.5212,15.812000000000001,574.519,16.056866666666668,16.0782,0.0
2021-10-13 07:00:00+02:00,,17.509133333333335,15.843933333333332,577.2099999999999,16.145933333333335,16.200266666666668,0.0
2021-10-13 07:15:00+02:00,,17.4994,15.893266666666669,575.6329999999999,16.2074,16.2556,0.0
2021-10-13 07:30:00+02:00,,17.485733333333332,15.946333333333332,576.524,16.24646666666667,16.290866666666666,0.0
2021-10-13 07:45:00+02:00,,17.47433333333333,15.993799999999998,576.5699999999999,16.282466666666668,16.33093333333333,0.0
2021-10-13 08:00:00+02:00,,17.464733333333335,16.035600000000002,576.724,16.321066666666667,16.3744,0.0
2021-10-13 08:15:00+02:00,,17.45886666666667,16.080933333333334,576.5849999999999,16.358733333333337,16.4118,0.0
2021-10-13 08:30:00+02:00,,17.45853333333333,16.1104,576.663,16.3966,16.444533333333332,0.0
2021-10-13 08:45:00+02:00,,17.459666666666667,16.154466666666664,577.3760000000001,16.43446666666667,16.477,0.0
2021-10-13 09:00:00+02:00,,17.461133333333336,16.1938,576.495,16.470066666666664,16.519333333333336,0.0
2021-10-13 09:15:00+02:00,,17.46526666666667,16.247000000000003,577.0640000000001,16.510466666666666,16.554266666666667,0.0
2021-10-13 09:30:00+02:00,,17.4746,16.292666666666666,577.2700000000001,16.549333333333337,16.610933333333335,0.0
2021-10-13 09:45:00+02:00,,17.48373333333333,16.3218,598.6113333333334,16.592599999999997,16.643200000000004,-0.007333333333333333
2021-10-13 10:00:00+02:00,,17.493800000000004,16.091933333333333,790.475,15.87526666666667,15.4514,-0.5831266666666667
