,N,NE,E,SE,S,SW,W,NW
2021-10-27 15:45:00+02:00,37.20966666666665,37.20966666666665,37.20966666666665,37.20966666666665,37.20966666666665,37.20966666666665,37.20966666666665,37.20966666666665
2021-10-27 16:00:00+02:00,32.634583333333325,32.634583333333325,32.634583333333325,32.634583333333325,32.634583333333325,32.634583333333325,32.634583333333325,32.634583333333325
2021-10-27 16:15:00+02:00,28.361449999999994,28.361449999999994,28.361449999999994,28.361449999999994,28.361449999999994,28.361449999999994,28.361449999999994,28.361449999999994
2021-10-27 16:30:00+02:00,23.596408333333326,23.596408333333326,23.596408333333326,23.596408333333326,23.596408333333326,23.596408333333326,23.596408333333326,23.596408333333326
2021-10-27 16:45:00+02:00,19.12635833333333,19.12635833333333,19.12635833333333,19.12635833333333,19.12635833333333,19.12635833333333,19.12635833333333,19.12635833333333
2021-10-27 17:00:00+02:00,12.785941666666666,12.785941666666666,12.785941666666666,12.785941666666666,12.785941666666666,12.785941666666666,12.785941666666666,12.785941666666666
2021-10-27 17:15:00+02:00,3.5285583333333332,3.5285583333333332,3.5285583333333332,3.5285583333333332,3.5285583333333332,3.5285583333333332,3.5285583333333332,3.5285583333333332
2021-10-27 17:30:00+02:00,2.138308333333333,2.138308333333333,2.138308333333333,2.138308333333333,2.138308333333333,2.138308333333333,2.138308333333333,2.138308333333333
2021-10-27 17:45:00+02:00,0.5817166666666665,0.5817166666666665,0.5817166666666665,0.5817166666666665,0.5817166666666665,0.5817166666666665,0.5817166666666665,0.5817166666666665
2021-10-27 18:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 18:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 18:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 18:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 19:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 19:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 19:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 19:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 20:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 20:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 20:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 20:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 21:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 21:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 21:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 21:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
